time,pJAK2_au,pEpoR_au,CIS_au,SOCS3_au,tSTAT5_au,pSTAT5_au
0,-1.955997626,-2.35532523,-1.769359933,NaN,-0.236382235,-2.962725324
5,0,-0.154400562,-1.410951985,NaN,0,0
10,-0.127344806,0,-1.670728349,-0.959711517,-0.164299243,-0.042110608
20,-0.127344806,-0.217191392,-1.430792185,-0.550579477,-0.248148117,-0.251698447
40,-0.581607138,-0.719316116,-0.890319303,NaN,NaN,NaN
60,-1.365472629,-0.996595215,-0.548991561,-0.244981248,-0.065581965,-0.40795407
80,-0.787282786,-0.954877441,-0.085746042,NaN,-0.167295929,-0.772185698
100,-1.033352739,-1.155856215,-0.03514695,NaN,-0.126338958,-0.786955623
120,-1.597287476,-0.548184611,NaN,0,-0.058477847,-0.712454537
140,-0.87244778,-0.872772917,-0.111766932,NaN,-0.193369242,-0.914700204
160,-0.866920046,-0.620594296,-0.124037679,NaN,-0.153513805,-0.897636959
180,-1.250016128,-1.295146764,-0.021761362,0,-0.07511123,-0.53518778
220,-1.227362269,-1.397735201,-0.040283855,NaN,-0.240428041,-1.066894031
240,-0.990906111,-1.068890435,0,-0.013342098,-0.14101425,-0.559227992
